"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGELEVEL","LPAY","PC","A","1975",11.2508553764836,
"AUS","WAGELEVEL","LPAY","PC","A","1976",11.5901026182027,
"AUS","WAGELEVEL","LPAY","PC","A","1977",11.7069002349925,
"AUS","WAGELEVEL","LPAY","PC","A","1978",12.7723215337149,
"AUS","WAGELEVEL","LPAY","PC","A","1979",13.5898865960216,
"AUS","WAGELEVEL","LPAY","PC","A","1980",13.5403240655496,
"AUS","WAGELEVEL","LPAY","PC","A","1981",13.9344079050323,
"AUS","WAGELEVEL","LPAY","PC","A","1982",14.3622189583098,
"AUS","WAGELEVEL","LPAY","PC","A","1983",14.5797242048368,
"AUS","WAGELEVEL","LPAY","PC","A","1984",14.445819736694,
"AUS","WAGELEVEL","LPAY","PC","A","1985",13.4674207248641,
"AUS","WAGELEVEL","LPAY","PC","A","1986",13.9756087087216,
"AUS","WAGELEVEL","LPAY","PC","A","1987",13.9363885088919,
"AUS","WAGELEVEL","LPAY","PC","A","1988",14.5263885219583,
"AUS","WAGELEVEL","LPAY","PC","A","1989",14.5436760103277,
"AUS","WAGELEVEL","LPAY","PC","A","1990",14.740810635167,
"AUS","WAGELEVEL","LPAY","PC","A","1991",13.9151470797504,
"AUS","WAGELEVEL","LPAY","PC","A","1992",13.8645166837184,
"AUS","WAGELEVEL","LPAY","PC","A","1993",13.1674364785664,
"AUS","WAGELEVEL","LPAY","PC","A","1994",13.5079423222537,
"AUS","WAGELEVEL","LPAY","PC","A","1995",13.8290371671028,
"AUS","WAGELEVEL","LPAY","PC","A","1997",12.1775502145619,
"AUS","WAGELEVEL","LPAY","PC","A","1998",12.7617214281984,
"AUS","WAGELEVEL","LPAY","PC","A","1999",14.3537848280428,
"AUS","WAGELEVEL","LPAY","PC","A","2000",16.3548195076221,
"AUS","WAGELEVEL","LPAY","PC","A","2001",15.5377691303996,
"AUS","WAGELEVEL","LPAY","PC","A","2002",15.1283188803772,
"AUS","WAGELEVEL","LPAY","PC","A","2003",14.920193356645,
"AUS","WAGELEVEL","LPAY","PC","A","2004",15.4543009896955,
"AUS","WAGELEVEL","LPAY","PC","A","2005",15.8155971338919,
"AUS","WAGELEVEL","LPAY","PC","A","2006",15.1551832124049,
"AUS","WAGELEVEL","LPAY","PC","A","2007",15.9726494362297,
"AUS","WAGELEVEL","LPAY","PC","A","2008",17.5107095317818,
"AUS","WAGELEVEL","LPAY","PC","A","2009",14.5199094102225,
